Customer_ID,Customer_Name,Segment,City,State,Region,Gender,Age,Email,Registration_Date,Total_Sales,Total_Profit,Total_Orders,Average_Order_Value,Customer_Segment_Score
JC-16105,Julie Creighton,Corporate,Durham,North Carolina,South,M,40,julie.creighton@email.com,2017-09-02,858.576,219.11,5,171.72,Bronze
CS-12400,Christopher Schild,Home Office,Chicago,Illinois,Central,M,40,christopher.schild@email.com,2015-09-07,3651.8585000000003,967.97,9,405.76,Silver
PO-18865,Patrick O'Donnell,Consumer,Columbia,South Carolina,South,M,50,patrick.o'donnell@email.com,2017-08-10,2493.214,552.66,7,356.17,Silver
PG-18895,Paul Gonzalez,Consumer,Rochester,Minnesota,Central,F,71,paul.gonzalez@email.com,2015-04-23,1987.164,481.33,9,220.8,Silver
GM-14455,Gary Mitchum,Home Office,Houston,Texas,Central,M,69,gary.mitchum@email.com,2016-03-29,3078.624,751.81,6,513.1,Silver
JS-15685,Jim Sink,Corporate,Los Angeles,California,West,M,23,jim.sink@email.com,2016-05-21,990.1959999999999,277.32,3,330.07,Bronze
KB-16315,Karl Braun,Consumer,Minneapolis,Minnesota,Central,M,18,karl.braun@email.com,2015-01-29,1569.464,314.04,9,174.38,Silver
RB-19705,Roger Barcio,Home Office,Portland,Oregon,West,M,55,roger.barcio@email.com,2017-01-19,2067.45,347.01,4,516.86,Silver
PN-18775,Parhena Norris,Home Office,New York City,New York,East,F,36,parhena.norris@email.com,2015-07-08,1467.152,412.41999999999996,8,183.39,Silver
KD-16345,Katherine Ducich,Consumer,San Francisco,California,West,M,65,katherine.ducich@email.com,2016-09-30,1888.964,440.34,6,314.83,Silver
ER-13855,Elpida Rittenbach,Corporate,Saint Paul,Minnesota,Central,M,42,elpida.rittenbach@email.com,2015-04-28,1245.788,348.38,3,415.26,Silver
RB-19465,Rick Bensley,Home Office,Chicago,Illinois,Central,M,35,rick.bensley@email.com,2016-07-22,4715.466,1230.28,12,392.96,Silver
GZ-14470,Gary Zandusky,Consumer,Rochester,Minnesota,Central,F,56,gary.zandusky@email.com,2015-11-27,4355.150000000001,892.03,9,483.91,Silver
LC-16870,Lena Cacioppo,Consumer,Aurora,Colorado,West,M,52,lena.cacioppo@email.com,2016-02-21,2580.7039999999997,629.86,8,322.59,Silver
JM-15250,Janet Martin,Consumer,Charlotte,North Carolina,South,M,50,janet.martin@email.com,2017-06-02,3159.1220000000003,862.55,6,526.52,Silver
PA-19060,Pete Armstrong,Home Office,Orland Park,Illinois,Central,F,32,pete.armstrong@email.com,2016-02-26,729.408,176.06,6,121.57,Bronze
CV-12805,Cynthia Voltz,Corporate,New York City,New York,East,M,38,cynthia.voltz@email.com,2015-08-21,2370.3136,667.0300000000001,9,263.37,Silver
CL-12565,Clay Ludtke,Consumer,Urbandale,Iowa,Central,M,38,clay.ludtke@email.com,2016-07-28,10880.546,2360.46,12,906.71,Platinum
RC-19960,Ryan Crowe,Consumer,Columbus,Ohio,East,M,35,ryan.crowe@email.com,2017-08-10,652.644,169.25,4,163.16,Bronze
DK-13090,Dave Kipp,Consumer,Seattle,Washington,West,M,23,dave.kipp@email.com,2016-09-05,2650.557,495.26,7,378.65,Silver
GG-14650,Greg Guthrie,Corporate,Bristol,Tennessee,South,M,40,greg.guthrie@email.com,2016-08-18,2224.0,591.12,9,247.11,Silver
SC-20725,Steven Cartwright,Consumer,Wilmington,Delaware,East,F,20,steven.cartwright@email.com,2017-02-07,5226.21,1369.26,11,475.11,Gold
AD-10180,Alan Dominguez,Home Office,Houston,Texas,Central,F,55,alan.dominguez@email.com,2015-01-17,6106.88,1443.15,8,763.36,Gold
PF-19165,Philip Fox,Consumer,Bloomington,Illinois,Central,M,44,philip.fox@email.com,2015-11-10,2770.0,528.14,6,461.67,Silver
TS-21610,Troy Staebel,Consumer,Phoenix,Arizona,West,M,65,troy.staebel@email.com,2016-10-21,2820.424,831.65,7,402.92,Silver
LS-16975,Lindsay Shagiari,Home Office,Los Angeles,California,West,F,46,lindsay.shagiari@email.com,2016-08-17,2988.674,520.8,9,332.07,Silver
DW-13585,Dorothy Wardle,Corporate,Columbus,Ohio,East,F,71,dorothy.wardle@email.com,2017-03-06,1204.854,334.28999999999996,7,172.12,Silver
LC-16885,Lena Creighton,Consumer,Roseville,California,West,F,39,lena.creighton@email.com,2017-04-10,7663.126,1844.34,12,638.59,Gold
JD-15895,Jonathan Doherty,Corporate,Philadelphia,Pennsylvania,East,M,64,jonathan.doherty@email.com,2015-06-16,7610.8640000000005,1844.01,11,691.9,Gold
SH-19975,Sally Hughsby,Corporate,San Francisco,California,West,F,42,sally.hughsby@email.com,2015-01-31,2465.6594999999998,708.34,12,205.47,Silver
SG-20080,Sandra Glassco,Consumer,Independence,Missouri,Central,F,69,sandra.glassco@email.com,2017-02-14,3406.5809999999997,671.76,3,1135.53,Silver
HA-14920,Helen Andreada,Consumer,Pasadena,California,West,M,71,helen.andreada@email.com,2016-01-27,2584.158,593.36,8,323.02,Silver
MG-17680,Maureen Gastineau,Home Office,Newark,Ohio,East,F,63,maureen.gastineau@email.com,2015-03-31,2350.188,693.9399999999999,4,587.55,Silver
JE-16165,Justin Ellison,Corporate,Franklin,Wisconsin,Central,F,46,justin.ellison@email.com,2016-03-16,2697.248,749.8900000000001,3,899.08,Silver
TW-21025,Tamara Willingham,Home Office,Scottsdale,Arizona,West,M,43,tamara.willingham@email.com,2017-06-05,5278.826,1544.75,7,754.12,Gold
SP-20650,Stephanie Phelps,Corporate,San Jose,California,West,F,33,stephanie.phelps@email.com,2017-05-18,1872.4360000000001,380.89000000000004,9,208.05,Silver
NK-18490,Neil Knudson,Home Office,Seattle,Washington,West,F,66,neil.knudson@email.com,2017-02-11,572.048,186.01,7,81.72,Bronze
DB-13060,Dave Brooks,Consumer,Seattle,Washington,West,F,40,dave.brooks@email.com,2015-02-26,4151.51,1270.09,6,691.92,Silver
NP-18670,Nora Paige,Consumer,Edmond,Oklahoma,Central,M,42,nora.paige@email.com,2017-09-03,3908.402,617.4200000000001,5,781.68,Silver
TT-21070,Ted Trevino,Consumer,Los Angeles,California,West,F,33,ted.trevino@email.com,2016-08-17,4915.602,1229.8500000000001,7,702.23,Silver
EM-13960,Eric Murdock,Consumer,Philadelphia,Pennsylvania,East,F,51,eric.murdock@email.com,2017-06-30,933.704,212.44,5,186.74,Bronze
RD-19900,Ruben Dartt,Consumer,Carlsbad,New Mexico,West,F,65,ruben.dartt@email.com,2016-03-16,3133.924,696.74,9,348.21,Silver
MJ-17740,Max Jones,Consumer,Seattle,Washington,West,F,60,max.jones@email.com,2017-04-28,6320.746,1436.9299999999998,7,902.96,Gold
BM-11140,Becky Martin,Consumer,San Antonio,Texas,Central,M,44,becky.martin@email.com,2017-08-29,11789.63,2535.2,4,2947.41,Platinum
CS-12130,Chad Sievert,Consumer,Los Angeles,California,West,M,33,chad.sievert@email.com,2015-05-13,884.64,264.57,4,221.16,Bronze
JB-15400,Jennifer Braxton,Corporate,Chicago,Illinois,Central,F,65,jennifer.braxton@email.com,2016-08-24,1791.605,446.39,10,179.16,Silver
SJ-20500,Shirley Jackson,Consumer,Houston,Texas,Central,M,49,shirley.jackson@email.com,2016-11-26,1318.776,325.57,5,263.76,Silver
JE-15745,Joel Eaton,Consumer,Newark,Ohio,East,F,61,joel.eaton@email.com,2016-03-12,6760.8150000000005,1642.33,13,520.06,Gold
JK-15640,Jim Kriz,Home Office,New York City,New York,East,M,56,jim.kriz@email.com,2017-05-29,4760.434,1051.44,9,528.94,Silver
DK-13150,David Kendrick,Corporate,Decatur,Illinois,Central,M,70,david.kendrick@email.com,2016-04-18,797.832,246.41,2,398.92,Bronze
RM-19675,Robert Marley,Home Office,Monroe,Louisiana,South,F,52,robert.marley@email.com,2017-04-27,5979.0960000000005,1384.41,5,1195.82,Gold
SK-19990,Sally Knutson,Consumer,Fairfield,Connecticut,East,M,68,sally.knutson@email.com,2016-01-14,883.409,154.96,3,294.47,Bronze
FM-14290,Frank Merwin,Home Office,Los Angeles,California,West,F,40,frank.merwin@email.com,2016-12-29,3736.198,854.5600000000001,9,415.13,Silver
AM-10360,Alice McCarthy,Corporate,Grand Prairie,Texas,Central,F,68,alice.mccarthy@email.com,2015-01-06,814.012,241.69,5,162.8,Bronze
MP-17470,Mark Packer,Home Office,New York City,New York,East,F,43,mark.packer@email.com,2017-06-05,2945.822,685.17,6,490.97,Silver
MZ-17515,Mary Zewe,Corporate,Redlands,California,West,F,46,mary.zewe@email.com,2015-12-13,2564.906,307.47,6,427.48,Silver
CB-12025,Cassandra Brandow,Consumer,Hamilton,Ohio,East,F,66,cassandra.brandow@email.com,2015-05-24,5730.669,1351.3700000000001,9,636.74,Gold
VM-21685,Valerie Mitchum,Home Office,Westfield,New Jersey,East,M,54,valerie.mitchum@email.com,2016-02-04,2454.866,554.3399999999999,7,350.7,Silver
FH-14365,Fred Hopkins,Corporate,Philadelphia,Pennsylvania,East,M,37,fred.hopkins@email.com,2016-01-19,6987.196,1536.33,8,873.4,Gold
MB-17305,Maria Bertelson,Consumer,Akron,Ohio,East,M,30,maria.bertelson@email.com,2015-08-19,1548.702,399.35,10,154.87,Silver
BS-11755,Bruce Stewart,Consumer,Denver,Colorado,West,M,43,bruce.stewart@email.com,2017-08-27,2562.382,720.64,7,366.05,Silver
LC-17140,Logan Currie,Consumer,Dallas,Texas,Central,F,54,logan.currie@email.com,2017-03-16,2633.582,549.65,9,292.62,Silver
HK-14890,Heather Kirkland,Corporate,Franklin,Tennessee,South,M,41,heather.kirkland@email.com,2017-05-13,4877.784,1085.51,8,609.72,Silver
LE-16810,Laurel Elliston,Consumer,Whittier,California,West,F,36,laurel.elliston@email.com,2015-12-07,1469.45,440.68,6,244.91,Silver
JH-15985,Joseph Holt,Consumer,Saginaw,Michigan,Central,M,52,joseph.holt@email.com,2015-02-24,7954.9980000000005,1192.89,6,1325.83,Gold
MS-17980,Michael Stewart,Corporate,Dallas,Texas,Central,M,60,michael.stewart@email.com,2017-05-31,855.116,152.47,6,142.52,Bronze
VW-21775,Victoria Wilson,Corporate,Medina,Ohio,East,F,45,victoria.wilson@email.com,2016-07-01,6134.0380000000005,1671.6799999999998,10,613.4,Gold
JH-15910,Jonathan Howell,Consumer,Los Angeles,California,West,F,57,jonathan.howell@email.com,2015-09-08,959.477,189.2,7,137.07,Bronze
JB-15925,Joni Blumstein,Consumer,Dublin,Ohio,East,F,73,joni.blumstein@email.com,2017-06-11,900.552,226.92,3,300.18,Bronze
DS-13180,David Smith,Corporate,Detroit,Michigan,Central,M,46,david.smith@email.com,2016-06-22,2881.8128,598.3199999999999,9,320.2,Silver
VD-21670,Valerie Dominguez,Consumer,Columbia,Tennessee,South,F,32,valerie.dominguez@email.com,2015-07-19,6442.254,1459.65,6,1073.71,Gold
EA-14035,Erin Ashbrook,Corporate,Charlotte,North Carolina,South,M,35,erin.ashbrook@email.com,2016-06-29,2752.441,605.32,12,229.37,Silver
CS-12400,Christopher Schild,Home Office,Tampa,Florida,South,M,34,christopher.schild@email.com,2015-03-05,3651.8585000000003,967.97,9,405.76,Silver
DB-13120,David Bremer,Corporate,Santa Clara,California,West,M,37,david.bremer@email.com,2015-10-21,2973.094,690.07,7,424.73,Silver
KL-16645,Ken Lonsdale,Consumer,Chicago,Illinois,Central,M,68,ken.lonsdale@email.com,2015-07-22,14175.229000000001,4645.7300000000005,12,1181.27,Platinum
DW-13480,Dianna Wilson,Home Office,Lakeville,Minnesota,Central,F,47,dianna.wilson@email.com,2015-07-23,5271.628,962.24,5,1054.33,Gold
LH-17155,Logan Haushalter,Consumer,San Francisco,California,West,M,74,logan.haushalter@email.com,2017-12-29,1739.689,500.15,9,193.3,Silver
KC-16540,Kelly Collister,Consumer,San Diego,California,West,M,30,kelly.collister@email.com,2017-01-11,3908.262,845.99,4,977.07,Silver
DL-13315,Delfina Latchford,Consumer,New York City,New York,East,F,49,delfina.latchford@email.com,2017-01-21,1458.258,407.57,8,182.28,Silver
DR-12880,Dan Reichenbach,Corporate,Chicago,Illinois,Central,F,38,dan.reichenbach@email.com,2016-10-09,6528.034000000001,1312.6200000000001,9,725.34,Gold
CC-12670,Craig Carreira,Consumer,New York City,New York,East,M,52,craig.carreira@email.com,2017-07-14,2269.7015,445.53,7,324.24,Silver
Dl-13600,Dorris liebe,Corporate,Pasadena,Texas,Central,M,64,dorris.liebe@email.com,2016-12-14,755.602,213.79999999999998,5,151.12,Bronze
SB-20290,Sean Braxton,Corporate,Houston,Texas,Central,F,64,sean.braxton@email.com,2015-11-14,8057.891,1260.53,7,1151.13,Gold
RC-19825,Roy Collins,Consumer,Chicago,Illinois,Central,F,74,roy.collins@email.com,2016-07-19,966.409,252.82,6,161.07,Bronze
AH-10210,Alan Hwang,Consumer,Brentwood,California,West,M,29,alan.hwang@email.com,2015-04-13,4805.344,1258.75,9,533.93,Silver
CB-12535,Claudia Bergmann,Corporate,Chapel Hill,North Carolina,South,F,62,claudia.bergmann@email.com,2016-08-05,4246.4555,1064.81,8,530.81,Silver
PG-18895,Paul Gonzalez,Consumer,Morristown,New Jersey,East,F,68,paul.gonzalez@email.com,2017-07-24,1987.164,481.33,9,220.8,Silver
CA-12310,Christine Abelman,Corporate,Cincinnati,Ohio,East,F,27,christine.abelman@email.com,2017-01-21,1421.954,274.26,4,355.49,Silver
KH-16690,Kristen Hastings,Corporate,San Francisco,California,West,F,27,kristen.hastings@email.com,2017-01-27,5990.799,1069.49,7,855.83,Gold
HA-14920,Helen Andreada,Consumer,San Francisco,California,West,F,39,helen.andreada@email.com,2017-07-07,2584.158,593.36,8,323.02,Silver
BB-10990,Barry Blumstein,Corporate,Inglewood,California,West,F,50,barry.blumstein@email.com,2016-03-19,744.3399999999999,193.62,5,148.87,Bronze
AG-10495,Andrew Gjertsen,Corporate,Philadelphia,Pennsylvania,East,F,71,andrew.gjertsen@email.com,2015-04-16,1419.247,359.33,7,202.75,Silver
SC-20725,Steven Cartwright,Consumer,Houston,Texas,Central,M,59,steven.cartwright@email.com,2015-03-15,5226.21,1369.26,11,475.11,Gold
JO-15280,Jas O'Carroll,Consumer,Los Angeles,California,West,F,40,jas.o'carroll@email.com,2016-05-12,1934.272,493.42,6,322.38,Silver
TB-21520,Tracy Blumstein,Consumer,Portland,Oregon,West,F,35,tracy.blumstein@email.com,2016-01-19,4737.486,1255.45,9,526.39,Silver
AH-10195,Alan Haines,Corporate,Tamarac,Florida,South,F,47,alan.haines@email.com,2016-04-11,1587.452,485.31,4,396.86,Silver
NZ-18565,Nick Zandusky,Home Office,Columbus,Ohio,East,M,28,nick.zandusky@email.com,2017-08-27,2488.31,622.61,9,276.48,Silver
KL-16555,Kelly Lampkin,Corporate,Colorado Springs,Colorado,West,M,43,kelly.lampkin@email.com,2017-01-04,5016.488,1267.97,8,627.06,Gold
JD-15895,Jonathan Doherty,Corporate,Belleville,New Jersey,East,M,54,jonathan.doherty@email.com,2016-08-13,7610.8640000000005,1844.01,11,691.9,Gold
JH-15910,Jonathan Howell,Consumer,Chicago,Illinois,Central,F,69,jonathan.howell@email.com,2015-11-09,959.477,189.2,7,137.07,Bronze
AS-10225,Alan Schoenberger,Corporate,New York City,New York,East,M,61,alan.schoenberger@email.com,2016-02-19,4260.784,1009.2,5,852.16,Silver
KB-16600,Ken Brennan,Corporate,Taylor,Michigan,Central,M,39,ken.brennan@email.com,2017-10-31,983.922,257.49,7,140.56,Bronze
CR-12625,Corey Roper,Home Office,Lakewood,New Jersey,East,F,68,corey.roper@email.com,2015-10-15,475.9,139.2,3,158.63,Bronze
SH-20395,Shahid Hopkins,Consumer,Arlington,Virginia,South,F,28,shahid.hopkins@email.com,2015-02-11,2180.718,431.32,10,218.07,Silver
BP-11185,Ben Peterman,Corporate,Arvada,Colorado,West,F,39,ben.peterman@email.com,2015-02-26,3675.861,785.8000000000001,9,408.43,Silver
TS-21205,Thomas Seio,Corporate,Hackensack,New Jersey,East,F,61,thomas.seio@email.com,2016-09-07,5371.09,870.77,7,767.3,Gold
AG-10525,Andy Gerbode,Corporate,Saint Petersburg,Florida,South,M,73,andy.gerbode@email.com,2016-11-09,1455.038,310.94000000000005,4,363.76,Silver
SP-20860,Sung Pak,Corporate,Philadelphia,Pennsylvania,East,M,49,sung.pak@email.com,2016-03-07,4282.94,1076.15,10,428.29,Silver
NM-18445,Nathan Mautz,Home Office,New York City,New York,East,F,25,nathan.mautz@email.com,2016-10-14,6459.344,1464.3799999999999,7,922.76,Gold
FA-14230,Frank Atkinson,Corporate,Long Beach,California,West,F,41,frank.atkinson@email.com,2016-04-19,2984.054,612.75,7,426.29,Silver
GK-14620,Grace Kelly,Corporate,Hesperia,California,West,F,60,grace.kelly@email.com,2015-03-09,6497.27,1213.27,9,721.92,Gold
DJ-13510,Don Jones,Corporate,Murfreesboro,Tennessee,South,F,74,don.jones@email.com,2017-06-23,2501.6879999999996,678.3100000000001,8,312.71,Silver
PO-18850,Patrick O'Brill,Consumer,Philadelphia,Pennsylvania,East,M,41,patrick.o'brill@email.com,2016-05-30,7473.8282,1473.51,11,679.44,Gold
JL-15850,John Lucas,Consumer,Philadelphia,Pennsylvania,East,M,46,john.lucas@email.com,2016-10-31,2725.256,695.8699999999999,6,454.21,Silver
DB-13615,Doug Bickford,Consumer,Los Angeles,California,West,M,38,doug.bickford@email.com,2016-03-30,1989.05,543.07,7,284.15,Silver
AC-10420,Alyssa Crouse,Corporate,San Francisco,California,West,F,43,alyssa.crouse@email.com,2015-04-14,925.8,147.52,3,308.6,Bronze
KL-16645,Ken Lonsdale,Consumer,Layton,Utah,West,M,74,ken.lonsdale@email.com,2015-03-27,14175.229000000001,4645.7300000000005,12,1181.27,Platinum
CS-12130,Chad Sievert,Consumer,Austin,Texas,Central,M,43,chad.sievert@email.com,2015-08-04,884.64,264.57,4,221.16,Bronze
CC-12550,Clay Cheatham,Consumer,San Francisco,California,West,M,56,clay.cheatham@email.com,2015-12-22,113.832,28.95,3,37.94,Bronze
TD-20995,Tamara Dahlen,Consumer,Lowell,Massachusetts,East,F,29,tamara.dahlen@email.com,2015-05-14,1434.5480000000002,394.96,9,159.39,Silver
AB-10060,Adam Bellavance,Home Office,New York City,New York,East,M,34,adam.bellavance@email.com,2017-09-25,7755.62,2142.2200000000003,8,969.45,Gold
JL-15505,Jeremy Lonsdale,Consumer,New York City,New York,East,M,45,jeremy.lonsdale@email.com,2015-10-19,3173.874,920.25,6,528.98,Silver
HK-14890,Heather Kirkland,Corporate,Charlotte,North Carolina,South,F,68,heather.kirkland@email.com,2015-04-03,4877.784,1085.51,8,609.72,Silver
VB-21745,Victoria Brennan,Corporate,Columbus,Georgia,South,M,63,victoria.brennan@email.com,2015-01-26,2005.596,610.33,6,334.27,Silver
KW-16435,Katrina Willman,Consumer,New York City,New York,East,F,46,katrina.willman@email.com,2017-10-23,4416.5199999999995,539.5,5,883.3,Silver
JD-16060,Julia Dunbar,Consumer,San Francisco,California,West,F,71,julia.dunbar@email.com,2016-04-20,695.442,227.95,3,231.81,Bronze
MK-17905,Michael Kennedy,Corporate,Manchester,Connecticut,East,F,56,michael.kennedy@email.com,2016-07-28,2302.368,658.8199999999999,8,287.8,Silver
GT-14755,Guy Thornton,Consumer,Harlingen,Texas,Central,F,63,guy.thornton@email.com,2015-09-18,226.436,66.8,4,56.61,Bronze
AG-10900,Arthur Gainer,Consumer,Tucson,Arizona,West,M,18,arthur.gainer@email.com,2016-10-11,4510.797,891.29,10,451.08,Silver
MM-18280,Muhammed MacIntyre,Corporate,Quincy,Illinois,Central,F,74,muhammed.macintyre@email.com,2016-12-17,775.414,163.07,9,86.16,Bronze
AR-10405,Allen Rosenblatt,Corporate,Franklin,Massachusetts,East,M,54,allen.rosenblatt@email.com,2017-02-03,2236.128,444.27,5,447.23,Silver
RA-19915,Russell Applegate,Consumer,Houston,Texas,Central,M,61,russell.applegate@email.com,2016-04-10,4793.543,1134.6,9,532.62,Silver
AS-10285,Alejandro Savely,Corporate,San Francisco,California,West,F,56,alejandro.savely@email.com,2015-02-01,3214.236,717.43,6,535.71,Silver
LA-16780,Laura Armstrong,Corporate,Taylor,Michigan,Central,M,51,laura.armstrong@email.com,2017-01-06,8673.222,1390.13,11,788.47,Gold
DO-13435,Denny Ordway,Consumer,Pembroke Pines,Florida,South,M,29,denny.ordway@email.com,2015-04-12,1300.0315,253.29,9,144.45,Silver
DK-13225,Dean Katz,Corporate,Philadelphia,Pennsylvania,East,M,72,dean.katz@email.com,2015-08-05,4802.394,1211.93,9,533.6,Silver
NG-18430,Nathan Gelder,Consumer,Cincinnati,Ohio,East,M,28,nathan.gelder@email.com,2015-07-30,1395.9379999999999,326.79,5,279.19,Silver
MV-18190,Mike Vittorini,Consumer,New York City,New York,East,F,51,mike.vittorini@email.com,2015-01-24,1734.574,365.51,7,247.8,Silver
JG-15115,Jack Garza,Consumer,Des Moines,Washington,West,F,66,jack.garza@email.com,2016-04-28,2358.676,560.0,3,786.23,Silver
BP-11095,Bart Pistole,Corporate,Peoria,Illinois,Central,F,36,bart.pistole@email.com,2016-11-05,2442.044,484.83,12,203.5,Silver
VP-21730,Victor Preis,Home Office,Las Vegas,Nevada,West,F,43,victor.preis@email.com,2017-01-31,993.9019999999999,191.66,3,331.3,Bronze
SS-20140,Saphhira Shifley,Corporate,Warwick,Rhode Island,East,M,41,saphhira.shifley@email.com,2016-11-02,1324.028,306.63,8,165.5,Silver
HP-14815,Harold Pawlan,Home Office,Jackson,Michigan,Central,M,32,harold.pawlan@email.com,2017-02-08,1990.314,567.5400000000001,7,284.33,Silver
AG-10675,Anna Gayman,Consumer,Houston,Texas,Central,M,29,anna.gayman@email.com,2017-10-28,3489.0396000000005,923.28,7,498.43,Silver
LF-17185,Luke Foster,Consumer,Miami,Florida,South,F,29,luke.foster@email.com,2015-03-28,3930.5089999999996,1009.0,7,561.5,Silver
