customer_key,recency,frequency,monetary,customer_name,email,R_score,F_score,M_score,RFM_score,RFM_total,segment
3217,98,31,3323.55,Arthur Prichep,arthur.prichep@email.com,3,5,4,354,12,Clients Potentiels
3218,111,5,1055.69,Alex Russell,alex.russell@email.com,2,1,2,212,5,Clients à Risque
3219,125,7,2236.12,Allen Rosenblatt,allen.rosenblatt@email.com,2,1,3,213,6,Clients à Risque
3220,14,7,264.87,Andrew Roberts,andrew.roberts@email.com,5,1,1,511,7,Nouveaux Clients
3221,6,9,6608.45,Andy Reiter,andy.reiter@email.com,5,2,5,525,12,Clients Potentiels
3222,534,2,88.15,Anemone Ratner,anemone.ratner@email.com,1,1,1,111,3,Clients à Risque
3223,58,13,4523.33,Anthony Rawles,anthony.rawles@email.com,3,3,5,335,11,Clients Potentiels
3224,88,10,3050.69,Aaron Smayling,aaron.smayling@email.com,3,2,4,324,9,Clients Potentiels
3225,28,25,3255.3,Adam Shillingsburg,adam.shillingsburg@email.com,4,5,4,454,13,Champions
3226,41,3,58.82,Adrian Shami,adrian.shami@email.com,4,1,1,411,6,Nouveaux Clients
3227,22,13,4260.78,Alan Schoenberger,alan.schoenberger@email.com,5,3,4,534,12,Clients Fidèles
3228,192,10,503.98,Alan Shonely,alan.shonely@email.com,2,2,1,221,5,Clients à Risque
3229,19,8,3214.24,Alejandro Savely,alejandro.savely@email.com,5,2,4,524,11,Clients Potentiels
3230,92,12,833.4100000000001,Ann Steele,ann.steele@email.com,3,3,1,331,7,Autres
3231,21,8,1166.0700000000002,Alyssa Tate,alyssa.tate@email.com,5,2,2,522,9,Nouveaux Clients
3232,13,16,3831.87,Annie Thurman,annie.thurman@email.com,5,4,4,544,13,Champions
3233,20,8,649.37,Anthony Witt,anthony.witt@email.com,5,2,1,521,8,Nouveaux Clients
3234,46,16,2852.9500000000003,Arthur Wiediger,arthur.wiediger@email.com,4,4,4,444,12,Clients Fidèles
3235,14,10,497.02,Andy Yotov,andy.yotov@email.com,5,2,1,521,8,Nouveaux Clients
3236,160,12,1622.03,Annie Zypern,annie.zypern@email.com,2,3,2,232,7,Clients Perdus
3237,105,8,744.3299999999999,Barry Blumstein,barry.blumstein@email.com,2,2,1,221,5,Clients à Risque
3238,28,20,6765.73,Brenda Bowman,brenda.bowman@email.com,4,5,5,455,14,Champions
3239,202,18,2933.67,Becky Castell,becky.castell@email.com,2,5,4,254,11,Clients Perdus
3240,33,19,5718.53,Bill Donatelli,bill.donatelli@email.com,4,5,5,455,14,Champions
3241,35,10,4411.25,Bradley Drucker,bradley.drucker@email.com,4,2,5,425,11,Clients Potentiels
3242,278,4,320.54,Brendan Dodson,brendan.dodson@email.com,1,1,1,111,3,Clients à Risque
3243,97,15,2783.19,Brian Dahlen,brian.dahlen@email.com,3,4,4,344,11,Clients Potentiels
3244,69,8,1538.12,Brian DeCherney,brian.decherney@email.com,3,2,2,322,7,Autres
3245,9,5,582.65,Brian Derr,brian.derr@email.com,5,1,1,511,7,Nouveaux Clients
3246,93,10,1526.5,Bruce Degenhardt,bruce.degenhardt@email.com,3,2,2,322,7,Autres
3247,327,10,658.46,Bryan Davis,bryan.davis@email.com,1,2,1,121,4,Clients à Risque
3248,119,9,4204.68,Bill Eplett,bill.eplett@email.com,2,2,4,224,8,Clients à Risque
3249,98,5,2261.44,Bobby Elias,bobby.elias@email.com,3,1,3,313,7,Clients Potentiels
3250,481,10,748.03,Brad Eason,brad.eason@email.com,1,2,1,121,4,Clients à Risque
3251,91,13,599.79,Barbara Fisher,barbara.fisher@email.com,3,3,1,331,7,Autres
3252,39,10,1333.89,Barry Franz,barry.franz@email.com,4,2,2,422,8,Nouveaux Clients
3253,74,21,2888.5,Barry Französisch,barry.französisch@email.com,3,5,4,354,12,Clients Potentiels
3254,25,6,272.95,Bart Folk,bart.folk@email.com,5,1,1,511,7,Nouveaux Clients
3255,16,27,5907.97,Ben Ferrer,ben.ferrer@email.com,5,5,5,555,15,Champions
3256,65,8,1585.17,Benjamin Farhat,benjamin.farhat@email.com,3,2,2,322,7,Autres
3257,57,4,791.99,Beth Fritzler,beth.fritzler@email.com,3,1,1,311,5,Autres
3258,28,12,2798.96,Barry Gonzalez,barry.gonzalez@email.com,4,3,4,434,11,Clients Fidèles
3259,36,8,1874.18,Brooke Gillingham,brooke.gillingham@email.com,4,2,3,423,9,Clients Potentiels
3260,57,7,1006.35,Bruce Geld,bruce.geld@email.com,3,1,2,312,6,Autres
3261,23,24,6255.34,Brosina Hoffman,brosina.hoffman@email.com,5,5,5,555,15,Champions
3262,77,16,659.15,Berenike Kampe,berenike.kampe@email.com,3,4,1,341,8,Autres
3263,307,16,11789.64,Becky Martin,becky.martin@email.com,1,4,5,145,10,Clients Perdus
3264,100,10,808.16,Brendan Murry,brendan.murry@email.com,3,2,1,321,6,Autres
3265,33,29,7294.18,Brian Moss,brian.moss@email.com,4,5,5,455,14,Champions
3266,218,14,1338.82,Bryan Mills,bryan.mills@email.com,2,4,2,242,8,Clients Perdus
3267,24,6,265.31,Brad Norvell,brad.norvell@email.com,5,1,1,511,7,Nouveaux Clients
3268,9,17,1459.34,Bradley Nguyen,bradley.nguyen@email.com,5,4,2,542,11,Clients Fidèles
3269,137,12,2682.73,Bill Overfelt,bill.overfelt@email.com,2,3,3,233,8,Clients Perdus
3270,75,2,130.83,Bobby Odegard,bobby.odegard@email.com,3,1,1,311,5,Autres
3271,83,7,983.4200000000001,Barry Pond,barry.pond@email.com,3,1,2,312,6,Autres
3272,17,20,2442.05,Bart Pistole,bart.pistole@email.com,5,5,3,553,13,Champions
3273,89,11,1697.8700000000001,Becky Pak,becky.pak@email.com,3,3,2,332,8,Autres
3274,1,18,3675.86,Ben Peterman,ben.peterman@email.com,5,5,4,554,14,Champions
3275,39,6,1181.49,Benjamin Patterson,benjamin.patterson@email.com,4,1,2,412,7,Nouveaux Clients
3276,12,16,2475.16,Beth Paige,beth.paige@email.com,5,4,3,543,12,Clients Fidèles
3277,558,9,10501.65,Bill Shonely,bill.shonely@email.com,1,2,5,125,8,Clients à Risque
3278,28,13,3887.82,Bill Stewart,bill.stewart@email.com,4,3,4,434,11,Clients Fidèles
3279,35,10,2454.9300000000003,Brendan Sweed,brendan.sweed@email.com,4,2,3,423,9,Clients Potentiels
3280,582,11,3288.12,Brian Stugart,brian.stugart@email.com,1,3,4,134,8,Clients Perdus
3281,1,14,2562.38,Bruce Stewart,bruce.stewart@email.com,5,4,3,543,12,Clients Fidèles
3282,265,8,949.43,Bryan Spruell,bryan.spruell@email.com,1,2,2,122,5,Clients à Risque
3283,336,9,2567.66,Beth Thompson,beth.thompson@email.com,1,2,3,123,6,Clients à Risque
3284,302,10,2186.61,Bill Tyler,bill.tyler@email.com,1,2,3,123,6,Clients à Risque
3285,560,7,603.87,Bobby Trafton,bobby.trafton@email.com,1,1,1,111,3,Clients à Risque
3286,659,3,415.2,Brad Thomas,brad.thomas@email.com,1,1,1,111,3,Clients à Risque
3287,91,10,2684.5,Bradley Talbott,bradley.talbott@email.com,3,2,3,323,8,Clients Potentiels
3288,20,20,3196.75,Brian Thompson,brian.thompson@email.com,5,5,4,554,14,Champions
3289,334,14,1523.28,Benjamin Venier,benjamin.venier@email.com,1,4,2,142,7,Clients Perdus
3290,212,3,385.51,Barry Weirich,barry.weirich@email.com,2,1,1,211,4,Clients à Risque
3291,121,17,4750.36,Bart Watters,bart.watters@email.com,2,4,5,245,11,Clients Perdus
3292,203,10,1738.41,Ben Wallace,ben.wallace@email.com,2,2,3,223,7,Clients à Risque
3293,96,10,3789.7200000000003,Carol Adams,carol.adams@email.com,3,2,4,324,9,Clients Potentiels
3294,401,10,1679.72,Cathy Armstrong,cathy.armstrong@email.com,1,2,2,122,5,Clients à Risque
3295,56,16,2638.33,Christina Anderson,christina.anderson@email.com,3,4,3,343,10,Clients Potentiels
3296,13,11,1421.96,Christine Abelman,christine.abelman@email.com,5,3,2,532,10,Clients Fidèles
3297,120,17,3041.58,Cynthia Arntzen,cynthia.arntzen@email.com,2,4,4,244,10,Clients Perdus
3298,47,22,5730.68,Cassandra Brandow,cassandra.brandow@email.com,4,5,5,455,14,Champions
3299,26,12,1949.21,Christy Brittain,christy.brittain@email.com,5,3,3,533,11,Clients Fidèles
3300,197,19,4246.46,Claudia Bergmann,claudia.bergmann@email.com,2,5,4,254,11,Clients Perdus
3301,457,12,1685.8899999999999,Chad Cunningham,chad.cunningham@email.com,1,3,2,132,6,Clients Perdus
3302,106,11,2471.65,Charles Crestani,charles.crestani@email.com,2,3,3,233,8,Clients Perdus
3303,20,21,3670.27,Chris Cortes,chris.cortes@email.com,5,5,4,554,14,Champions
3304,43,11,12129.08,Christopher Conant,christopher.conant@email.com,4,3,5,435,12,Clients Fidèles
3305,0,19,2870.05,Chuck Clark,chuck.clark@email.com,5,5,4,554,14,Champions
3306,39,13,1659.45,Cindy Chapman,cindy.chapman@email.com,4,3,2,432,9,Clients Fidèles
3307,27,4,113.84,Clay Cheatham,clay.cheatham@email.com,4,1,1,411,6,Nouveaux Clients
3308,34,12,2540.63,Corey Catlett,corey.catlett@email.com,4,3,3,433,10,Clients Fidèles
3309,29,14,2269.69,Craig Carreira,craig.carreira@email.com,4,4,3,443,11,Clients Fidèles
3310,798,12,2854.12,Craig Carroll,craig.carroll@email.com,1,3,4,134,8,Clients Perdus
3311,40,9,2033.97,Carlos Daly,carlos.daly@email.com,4,2,3,423,9,Clients Potentiels
3312,54,6,639.76,Carol Darley,carol.darley@email.com,3,1,1,311,5,Autres
3313,42,13,1205.58,Christina DeMoss,christina.demoss@email.com,4,3,2,432,9,Clients Fidèles
3314,399,15,1860.74,Cynthia Delaney,cynthia.delaney@email.com,1,4,3,143,8,Clients Perdus
3315,49,9,904.4799999999999,Catherine Glotzbach,catherine.glotzbach@email.com,4,2,1,421,7,Nouveaux Clients
3316,338,5,1148.78,Claire Gute,claire.gute@email.com,1,1,2,112,4,Clients à Risque
3317,690,4,1537.24,Cathy Hwang,cathy.hwang@email.com,1,1,2,112,4,Clients à Risque
3318,365,1,16.52,Carl Jackson,carl.jackson@email.com,1,1,1,111,3,Clients à Risque
3319,189,20,11164.970000000001,Caroline Jumper,caroline.jumper@email.com,2,5,5,255,12,Clients Perdus
3320,39,32,3154.83,Chloris Kastensmidt,chloris.kastensmidt@email.com,4,5,4,454,13,Champions
3321,120,12,2945.32,Christine Kargatis,christine.kargatis@email.com,2,3,4,234,9,Clients Perdus
3322,43,25,2372.75,Clytie Kelty,clytie.kelty@email.com,4,5,3,453,12,Clients Fidèles
3323,82,14,1582.1100000000001,Cyma Kinney,cyma.kinney@email.com,3,4,2,342,9,Autres
3324,106,7,1262.01,Carl Ludwig,carl.ludwig@email.com,2,1,2,212,5,Clients à Risque
3325,284,28,10880.56,Clay Ludtke,clay.ludtke@email.com,1,5,5,155,11,Clients Perdus
3326,260,7,2335.59,Craig Leslie,craig.leslie@email.com,1,1,3,113,5,Clients à Risque
3327,131,10,1673.89,Candace McMahon,candace.mcmahon@email.com,2,2,2,222,6,Clients à Risque
3328,707,4,565.39,Carlos Meador,carlos.meador@email.com,1,1,1,111,3,Clients à Risque
3329,8,7,1661.6100000000001,Chad McGuire,chad.mcguire@email.com,5,1,2,512,8,Nouveaux Clients
3330,26,7,2533.32,Charles McCrossin,charles.mccrossin@email.com,5,1,3,513,9,Clients Potentiels
3331,8,7,1475.14,Charlotte Melton,charlotte.melton@email.com,5,1,2,512,8,Nouveaux Clients
3332,385,8,2305.71,Chris McAfee,chris.mcafee@email.com,1,2,3,123,6,Clients à Risque
3333,37,10,8954.009999999998,Christopher Martinez,christopher.martinez@email.com,4,2,5,425,11,Clients Potentiels
3334,436,9,288.0,Chuck Magee,chuck.magee@email.com,1,2,1,121,4,Clients à Risque
3335,27,8,5890.51,Corinna Mitchell,corinna.mitchell@email.com,4,2,5,425,11,Clients Potentiels
3336,1034,13,3984.45,Craig Molinari,craig.molinari@email.com,1,3,4,134,8,Clients Perdus
3337,549,8,1300.08,Corey-Lock,corey-lock@email.com,1,2,2,122,5,Clients à Risque
3338,82,14,5402.250000000001,Cathy Prescott,cathy.prescott@email.com,3,4,5,345,12,Clients Potentiels
3339,160,14,5817.21,Christine Phan,christine.phan@email.com,2,4,5,245,11,Clients Perdus
3340,57,6,2148.85,Clay Rozendal,clay.rozendal@email.com,3,1,3,313,7,Clients Potentiels
3341,470,4,475.9,Corey Roper,corey.roper@email.com,1,1,1,111,3,Clients à Risque
3342,78,6,1600.55,Craig Reiter,craig.reiter@email.com,3,1,2,312,6,Autres
3343,85,7,1397.88,Cyra Reiten,cyra.reiten@email.com,3,1,2,312,6,Autres
3344,91,8,1278.96,Cari Sayre,cari.sayre@email.com,3,2,2,322,7,Autres
3345,162,7,537.63,Cari Schnelling,cari.schnelling@email.com,2,1,1,211,4,Clients à Risque
3346,25,22,3036.5299999999997,Carlos Soltero,carlos.soltero@email.com,5,5,4,554,14,Champions
3347,489,7,884.64,Chad Sievert,chad.sievert@email.com,1,1,1,111,3,Clients à Risque
3348,232,8,844.46,Charles Sheldon,charles.sheldon@email.com,1,2,1,121,4,Clients à Risque
3349,26,28,2754.22,Chris Selesnick,chris.selesnick@email.com,5,5,4,554,14,Champions
3350,6,22,3202.1600000000003,Christine Sundaresam,christine.sundaresam@email.com,5,5,4,554,14,Champions
3351,2,14,3651.86,Christopher Schild,christopher.schild@email.com,5,4,4,544,13,Champions
3352,27,6,550.6400000000001,Chuck Sachs,chuck.sachs@email.com,4,1,1,411,6,Nouveaux Clients
3353,424,8,970.1099999999999,Cindy Schnelling,cindy.schnelling@email.com,1,2,2,122,5,Clients à Risque
3354,58,9,5690.07,Cindy Stewart,cindy.stewart@email.com,3,2,5,325,10,Clients Potentiels
3355,96,18,3241.9,Carol Triggs,carol.triggs@email.com,3,5,4,354,12,Clients Potentiels
3356,254,13,2830.63,Christina VanderZanden,christina.vanderzanden@email.com,1,3,4,134,8,Clients Perdus
3357,5,19,2370.33,Cynthia Voltz,cynthia.voltz@email.com,5,5,3,553,13,Champions
3358,22,11,1136.59,Carl Weiss,carl.weiss@email.com,5,3,2,532,10,Clients Fidèles
3359,60,10,2004.0800000000002,Craig Yedwab,craig.yedwab@email.com,3,2,3,323,8,Clients Potentiels
3360,352,8,156.76,Dianna Arnett,dianna.arnett@email.com,1,2,1,121,4,Clients à Risque
3361,21,12,2171.61,Daniel Byrd,daniel.byrd@email.com,5,3,3,533,11,Clients Fidèles
3362,241,10,2469.67,Darren Budd,darren.budd@email.com,1,2,3,123,6,Clients à Risque
3363,16,10,4151.51,Dave Brooks,dave.brooks@email.com,5,2,4,524,11,Clients Potentiels
3364,48,14,2973.09,David Bremer,david.bremer@email.com,4,4,4,444,12,Clients Fidèles
3365,9,21,2332.57,Dean Braden,dean.braden@email.com,5,5,3,553,13,Champions
3366,53,13,4655.9,Deborah Brumfield,deborah.brumfield@email.com,4,3,5,435,12,Clients Fidèles
3367,264,6,1081.47,Dennis Bolton,dennis.bolton@email.com,1,1,2,112,4,Clients à Risque
3368,187,14,1711.69,Denny Blanton,denny.blanton@email.com,2,4,3,243,9,Clients Perdus
3369,107,14,3908.8,Dorothy Badders,dorothy.badders@email.com,2,4,4,244,10,Clients Perdus
3370,33,11,1989.05,Doug Bickford,doug.bickford@email.com,4,3,3,433,10,Clients Fidèles
3371,12,10,1155.21,Duane Benoit,duane.benoit@email.com,5,2,2,522,9,Nouveaux Clients
3372,37,18,3336.17,Dan Campbell,dan.campbell@email.com,4,5,4,454,13,Champions
3373,23,7,1174.62,Debra Catini,debra.catini@email.com,5,1,2,512,8,Nouveaux Clients
3374,41,9,269.53000000000003,Dorothy Dickinson,dorothy.dickinson@email.com,4,2,1,421,7,Nouveaux Clients
3375,718,9,2550.87,Deanra Eno,deanra.eno@email.com,1,2,3,123,6,Clients à Risque
3376,699,6,2390.54,David Flashing,david.flashing@email.com,1,1,3,113,5,Clients à Risque
3377,32,8,3195.82,Deirdre Greer,deirdre.greer@email.com,4,2,4,424,10,Clients Potentiels
3378,277,18,3487.19,Dave Hallsten,dave.hallsten@email.com,1,5,4,154,10,Clients Perdus
3379,775,11,1043.09,Duane Huffman,duane.huffman@email.com,1,3,2,132,6,Clients Perdus
3380,637,5,2012.52,Denny Joy,denny.joy@email.com,1,1,3,113,5,Clients à Risque
3381,48,13,2501.69,Don Jones,don.jones@email.com,4,3,3,433,10,Clients Fidèles
3382,12,8,3356.4,Doug Jacobs,doug.jacobs@email.com,5,2,4,524,11,Clients Potentiels
3383,21,27,3256.48,Damala Kotsonis,damala.kotsonis@email.com,5,5,4,554,14,Champions
3384,45,15,4282.16,Dana Kaydos,dana.kaydos@email.com,4,4,5,445,13,Champions
3385,7,8,1687.03,Darren Koutras,darren.koutras@email.com,5,2,2,522,9,Nouveaux Clients
3386,42,13,2650.55,Dave Kipp,dave.kipp@email.com,4,3,3,433,10,Clients Fidèles
3387,10,5,797.8299999999999,David Kendrick,david.kendrick@email.com,5,1,1,511,7,Nouveaux Clients
3388,10,19,4802.389999999999,Dean Katz,dean.katz@email.com,5,5,5,555,15,Champions
3389,19,23,3318.4900000000002,Dennis Kane,dennis.kane@email.com,5,5,4,554,14,Champions
3390,100,7,444.02,Dan Lawera,dan.lawera@email.com,3,1,1,311,5,Autres
3391,57,14,3272.2,Daniel Lacy,daniel.lacy@email.com,3,4,4,344,11,Clients Potentiels
3392,22,17,1458.25,Delfina Latchford,delfina.latchford@email.com,5,4,2,542,11,Clients Fidèles
3393,57,8,585.02,Denise Leinenbach,denise.leinenbach@email.com,3,2,1,321,6,Autres
3394,76,12,3539.32,Dionis Lloyd,dionis.lloyd@email.com,3,3,4,334,10,Clients Potentiels
3395,119,6,755.6,Dorris liebe,dorris.liebe@email.com,2,1,1,211,4,Clients à Risque
3396,114,9,1322.03,Dario Medina,dario.medina@email.com,2,2,2,222,6,Clients à Risque
3397,57,20,6345.09,Darrin Martin,darrin.martin@email.com,3,5,5,355,13,Champions
3398,22,13,4074.47,Denise Monton,denise.monton@email.com,5,3,4,534,12,Clients Fidèles
3399,481,10,1376.8,Don Miller,don.miller@email.com,1,2,2,122,5,Clients à Risque
3400,217,11,2139.79,Duane Noonan,duane.noonan@email.com,2,3,3,233,8,Clients Perdus
3401,133,13,1300.03,Denny Ordway,denny.ordway@email.com,2,3,2,232,7,Clients Perdus
3402,26,11,1267.32,Doug O'Connell,doug.o'connell@email.com,5,3,2,532,10,Clients Fidèles
3403,126,15,897.52,Darren Powers,darren.powers@email.com,2,4,1,241,7,Clients Perdus
3404,6,14,2214.9900000000002,Dave Poirier,dave.poirier@email.com,5,4,3,543,12,Clients Fidèles
3405,811,4,1058.62,David Philippe,david.philippe@email.com,1,1,2,112,4,Clients à Risque
3406,84,29,7198.77,Dean percer,dean.percer@email.com,3,5,5,355,13,Champions
3407,358,14,5480.73,Dennis Pardue,dennis.pardue@email.com,1,4,5,145,10,Clients Perdus
3408,3,24,6528.03,Dan Reichenbach,dan.reichenbach@email.com,5,5,5,555,15,Champions
3409,50,13,8350.869999999999,Daniel Raglin,daniel.raglin@email.com,4,3,5,435,12,Clients Fidèles
3410,93,19,1762.21,Darrin Sayre,darrin.sayre@email.com,3,5,3,353,11,Clients Potentiels
3411,23,20,2881.8,David Smith,david.smith@email.com,5,5,4,554,14,Champions
3412,19,9,1119.48,Darrin Van Huff,darrin.van.huff@email.com,5,2,2,522,9,Nouveaux Clients
3413,29,13,3254.48,Dianna Vittorini,dianna.vittorini@email.com,4,3,4,434,11,Clients Fidèles
3414,69,9,1080.76,David Wiener,david.wiener@email.com,3,2,2,322,7,Autres
3415,217,11,5271.63,Dianna Wilson,dianna.wilson@email.com,2,3,5,235,10,Clients Perdus
3416,98,9,344.08,Don Weiss,don.weiss@email.com,3,2,1,321,6,Autres
3417,242,10,1204.85,Dorothy Wardle,dorothy.wardle@email.com,1,2,2,122,5,Clients à Risque
3418,152,22,2752.45,Erin Ashbrook,erin.ashbrook@email.com,2,5,4,254,11,Clients Perdus
3419,48,12,3644.97,Ed Braxton,ed.braxton@email.com,4,3,4,434,11,Clients Fidèles
3420,35,20,3236.32,Edward Becker,edward.becker@email.com,4,5,4,454,13,Champions
3421,90,7,964.45,Ellis Ballard,ellis.ballard@email.com,3,1,2,312,6,Autres
3422,100,11,2767.2200000000003,Emily Burns,emily.burns@email.com,3,3,4,334,10,Clients Potentiels
3423,161,7,944.6,Eric Barreto,eric.barreto@email.com,2,1,2,212,5,Clients à Risque
3424,0,6,1643.26,Erica Bern,erica.bern@email.com,5,1,2,512,8,Nouveaux Clients
3425,113,11,3071.14,Eugene Barchas,eugene.barchas@email.com,2,3,4,234,9,Clients Perdus
3426,82,7,1186.33,Evan Bailliet,evan.bailliet@email.com,3,1,2,312,6,Autres
3427,53,7,461.90999999999997,Erin Creighton,erin.creighton@email.com,4,1,1,411,6,Nouveaux Clients
3428,135,14,3484.9100000000003,Emily Ducich,emily.ducich@email.com,2,4,4,244,10,Clients Perdus
3429,22,9,1832.02,Emily Grady,emily.grady@email.com,5,2,3,523,10,Clients Potentiels
3430,135,27,9940.37,Edward Hooks,edward.hooks@email.com,2,5,5,255,12,Clients Perdus
3431,217,17,684.18,Eric Hoffmann,eric.hoffmann@email.com,2,4,1,241,7,Clients Perdus
3432,405,8,825.95,Erica Hackney,erica.hackney@email.com,1,2,1,121,4,Clients à Risque
3433,2,11,1219.52,Erica Hernandez,erica.hernandez@email.com,5,3,2,532,10,Clients Fidèles
3434,152,18,3082.64,Eugene Hildebrand,eugene.hildebrand@email.com,2,5,4,254,11,Clients Perdus
3435,105,8,923.88,Evan Henry,evan.henry@email.com,2,2,1,221,5,Clients à Risque
3436,302,8,2162.18,Ed Jacobs,ed.jacobs@email.com,1,2,3,123,6,Clients à Risque
3437,57,8,2656.69,Eva Jacobs,eva.jacobs@email.com,3,2,3,323,8,Clients Potentiels
3438,44,4,1303.48,Eileen Kiefer,eileen.kiefer@email.com,4,1,2,412,7,Nouveaux Clients
3439,77,2,124.28,Ed Ludwig,ed.ludwig@email.com,3,1,1,311,5,Autres
3440,132,7,2567.0,Eleni McCrary,eleni.mccrary@email.com,2,1,3,213,6,Clients à Risque
3441,55,16,2339.6,Elizabeth Moffitt,elizabeth.moffitt@email.com,3,4,3,343,10,Clients Potentiels
3442,151,6,933.6999999999999,Eric Murdock,eric.murdock@email.com,2,1,1,211,4,Clients à Risque
3443,47,6,228.99,Erin Mull,erin.mull@email.com,4,1,1,411,6,Nouveaux Clients
3444,113,10,1041.04,Eudokia Martin,eudokia.martin@email.com,2,2,2,222,6,Clients à Risque
3445,48,21,4588.4400000000005,Eugene Moren,eugene.moren@email.com,4,5,5,455,14,Champions
3446,158,4,366.83000000000004,Evan Minnotte,evan.minnotte@email.com,2,1,1,211,4,Clients à Risque
3447,287,9,2199.36,Edward Nazzal,edward.nazzal@email.com,1,2,3,123,6,Clients à Risque
3448,12,31,5478.06,Emily Phan,emily.phan@email.com,5,5,5,555,15,Champions
3449,421,5,1245.79,Elpida Rittenbach,elpida.rittenbach@email.com,1,1,2,112,4,Clients à Risque
3450,40,8,3510.46,Erica Smith,erica.smith@email.com,4,2,4,424,10,Clients Potentiels
3451,28,20,4657.93,Erin Smith,erin.smith@email.com,4,5,5,455,14,Champions
